,steamId,name,publisherClass,price,sales,img_count,link_count,sales_adj,name_len,name_capital_ratio,name_digit_ratio,name_special_ratio,description_len,description_capital_ratio,description_digit_ratio,description_special_ratio,description_stopword_ratio,description_avg_word_len,tags_2D,tags_Action,tags_Adventure,tags_Anime,tags_Atmospheric,tags_Casual,tags_Cute,tags_Exploration,tags_Female_Protagonist,tags_FirstPerson,tags_Horror,tags_Indie,tags_JRPG,tags_Multiplayer,tags_Nudity,tags_Open_World,tags_Pixel_Graphics,tags_Platformer,tags_Point__Click,tags_Psychological_Horror,tags_Puzzle,tags_RPG,tags_Sexual_Content,tags_Simulation,tags_Singleplayer,tags_Sports,tags_Story_Rich,tags_Strategy,tags_VR,tags_Visual_Novel,genres_Action,genres_Adventure,genres_Casual,genres_Early_Access,genres_Indie,genres_Massively_Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,features_Captions_available,features_Commentary_available,features_CrossPlatform_Multiplayer,features_Family_Sharing,features_HDR_available,features_InApp_Purchases,features_Includes_level_editor,features_LAN_Coop,features_LAN_PvP,features_MMO,features_Online_Coop,features_Online_PvP,features_Profile_Features_Limited,features_Remote_Play_Together,features_Remote_Play_on_Phone,features_Remote_Play_on_TV,features_Remote_Play_on_Tablet,features_SharedSplit_Screen_Coop,features_SharedSplit_Screen_PvP,features_Singleplayer,features_Stats,features_Steam_Achievements,features_Steam_Cloud,features_Steam_Leaderboards,features_Steam_Trading_Cards,features_Steam_Turn_Notifications,features_Steam_Workshop,features_Tracked_Controller_Support,features_VR_Only,features_VR_Supported
8303,794180,PRO FISHING SIMULATOR,AA,39.99,920,0,0,836,21,0.9047619047619048,0.0,0.09523809523809523,831,0.06377858002406739,0.010830324909747292,0.19855595667870035,0.3082706766917293,5.18796992481203,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0
3321,1240590,Sir Whoopass™: Immortal Death,Indie,16.99,2830,4,0,1930,29,0.13793103448275862,0.0,0.1724137931034483,1469,0.053778080326752895,0.0,0.20285908781484002,0.37398373983739835,4.955284552845528,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0
1292,1454970,New Tales from the Borderlands,AAA,39.99,13109,1,0,9364,30,0.1,0.0,0.13333333333333333,1674,0.07586618876941457,0.0,0.1911589008363202,0.3346153846153846,5.438461538461539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
9598,432130,Break Chance Memento,Indie,19.99,412,0,1,252,20,0.15,0.0,0.1,1697,0.030053034767236298,0.005303476723629935,0.1974071891573365,0.3819444444444444,4.878472222222222,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
2880,937580,Touhou Kanjuden ~ Legacy of Lunatic Kingdom.,Indie,14.99,5331,0,0,2622,44,0.11363636363636363,0.0,0.18181818181818182,2552,0.01293103448275862,0.0035266457680250786,0.1916144200626959,0.0,13.987730061349692,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
1724,695330,SEASON: A letter to the future,Indie,24.99,22123,5,0,20740,30,0.23333333333333334,0.0,0.2,745,0.024161073825503355,0.0,0.19328859060402684,0.3858267716535433,4.874015748031496,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
2628,1175880,War Room,Indie,26.99,6255,5,0,5519,8,0.25,0.0,0.125,2545,0.07897838899803536,0.006286836935166994,0.1807465618860511,0.349009900990099,5.301980198019802,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
9692,1559760,Island Diary,Indie,16.99,782,3,0,385,12,0.16666666666666666,0.0,0.08333333333333333,746,0.032171581769437,0.0,0.2037533512064343,0.3969465648854962,4.687022900763359,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0
5496,1530770,Star Wars™ Pinball VR,Indie,24.99,3495,0,0,3177,21,0.23809523809523808,0.0,0.19047619047619047,965,0.15233160621761657,0.004145077720207254,0.25803108808290154,0.15822784810126583,4.727848101265823,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1
9157,605180,Theory of Fear,Indie,4.99,1168,0,0,1031,14,0.14285714285714285,0.0,0.14285714285714285,1037,0.011571841851494697,0.0057859209257473485,0.2256509161041466,0.4,4.84,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
