,steamId,name,publisherClass,price,sales,img_count,link_count,sales_adj,name_len,name_capital_ratio,name_digit_ratio,name_special_ratio,description_len,description_capital_ratio,description_digit_ratio,description_special_ratio,description_stopword_ratio,description_avg_word_len,tags_2D,tags_Action,tags_Adventure,tags_Anime,tags_Atmospheric,tags_Casual,tags_Cute,tags_Exploration,tags_Female_Protagonist,tags_FirstPerson,tags_Horror,tags_Indie,tags_JRPG,tags_Multiplayer,tags_Nudity,tags_Open_World,tags_Pixel_Graphics,tags_Platformer,tags_Point__Click,tags_Psychological_Horror,tags_Puzzle,tags_RPG,tags_Sexual_Content,tags_Simulation,tags_Singleplayer,tags_Sports,tags_Story_Rich,tags_Strategy,tags_VR,tags_Visual_Novel,genres_Action,genres_Adventure,genres_Casual,genres_Early_Access,genres_Indie,genres_Massively_Multiplayer,genres_RPG,genres_Racing,genres_Simulation,genres_Sports,genres_Strategy,features_Captions_available,features_Commentary_available,features_CrossPlatform_Multiplayer,features_Family_Sharing,features_HDR_available,features_InApp_Purchases,features_Includes_level_editor,features_LAN_Coop,features_LAN_PvP,features_MMO,features_Online_Coop,features_Online_PvP,features_Profile_Features_Limited,features_Remote_Play_Together,features_Remote_Play_on_Phone,features_Remote_Play_on_TV,features_Remote_Play_on_Tablet,features_SharedSplit_Screen_Coop,features_SharedSplit_Screen_PvP,features_Singleplayer,features_Stats,features_Steam_Achievements,features_Steam_Cloud,features_Steam_Leaderboards,features_Steam_Trading_Cards,features_Steam_Turn_Notifications,features_Steam_Workshop,features_Tracked_Controller_Support,features_VR_Only,features_VR_Supported
651,503560,911 Operator,Indie,14.99,154253,1,4,128544,12,0.08333333333333333,0.25,0.08333333333333333,2238,0.07327971403038427,0.016979445933869526,0.20151921358355673,0.3112391930835735,5.435158501440922,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0
9180,360890,The Lost Valley,Indie,4.99,2170,0,0,1550,15,0.2,0.0,0.13333333333333333,616,0.022727272727272728,0.0,0.2224025974025974,0.452991452991453,4.230769230769231,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
5173,655770,Crimson Gray,Indie,9.99,2575,0,0,1577,12,0.16666666666666666,0.0,0.08333333333333333,1354,0.014032496307237814,0.0,0.20088626292466766,0.39473684210526316,4.885964912280702,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
7319,2490160,NecroAttack！,Indie,9.99,6358,0,0,5961,12,0.16666666666666666,0.0,0.08333333333333333,441,0.031746031746031744,0.0,0.2562358276643991,0.40540540540540543,4.662162162162162,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10569,555320,Never give up!,Indie,2.99,1917,0,0,1691,14,0.07142857142857142,0.0,0.21428571428571427,1126,0.018650088809946713,0.003552397868561279,0.20426287744227353,0.3407821229050279,5.284916201117318,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0
10305,1686130,Deep Despair 2,Indie,11.99,2174,9,0,1208,14,0.14285714285714285,0.07142857142857142,0.14285714285714285,2465,0.016227180527383367,0.004056795131845842,0.18945233265720082,0.3686746987951807,4.9397590361445785,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
2875,938380,Townsmen - A Kingdom Rebuilt,Indie,19.99,2431,4,0,2145,28,0.14285714285714285,0.0,0.17857142857142858,2570,0.017120622568093387,0.002723735408560311,0.19105058365758754,0.38215102974828374,4.874141876430206,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0
8914,1346770,YAKIMOCHI STREAM,Indie,24.99,276,0,0,212,16,0.9375,0.0,0.0625,751,0.006657789613848202,0.010652463382157125,0.12649800266311584,0.0,22.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
8784,1734540,PUPPETEERS,Indie,9.99,2713,9,1,1334,10,1.0,0.0,0.0,2507,0.06302353410450738,0.00039888312724371757,0.1998404467491025,0.39568345323741005,4.9928057553956835,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
4161,2303800,My Life as a Cult Leader,Indie,14.99,8887,8,1,8079,24,0.16666666666666666,0.0,0.20833333333333334,1327,0.020346646571213264,0.0,0.1966842501883949,0.41739130434782606,4.773913043478261,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
